Axiluanda	<http://vocab.getty.edu/ulan/500202908>	<http://vocab.getty.edu/aat/300263197>	Axi-Luanda; Baxiluandas; Machiloanda; Machiloandas; Machiluandas; Machiluandos; Mixiluanda; Muchiluandas; Muchiluandos; Muxiluanda
Ayyubid	<http://vocab.getty.edu/ulan/500202909>	<http://vocab.getty.edu/aat/300021538>	
Azilian	<http://vocab.getty.edu/ulan/500202911>	<http://vocab.getty.edu/aat/300019322>	
Aztatlán	<http://vocab.getty.edu/ulan/500202912>	<http://vocab.getty.edu/aat/300017194>	
Babungo	<http://vocab.getty.edu/ulan/500202915>	<http://vocab.getty.edu/aat/300262877>	Bamungo; Ngo (Babungo style)
Babwa	<http://vocab.getty.edu/ulan/500202916>	<http://vocab.getty.edu/aat/300016417>	Ababua; Baboa; Babua; Boa (Zande-Mangbetu region style)
Babylonian	<http://vocab.getty.edu/ulan/500202917>	<http://vocab.getty.edu/aat/300107732>	
Bachama	<http://vocab.getty.edu/ulan/500202918>	<http://vocab.getty.edu/aat/300016119>	
Bactrian	<http://vocab.getty.edu/ulan/500202919>	<http://vocab.getty.edu/aat/300018294>	
Badyaranke	<http://vocab.getty.edu/ulan/500202920>	<http://vocab.getty.edu/aat/300262556>	Agola; Badian; Badiaranke; Badyara (culture or style); Badyaran; Bajaranke; Bigolá; Gola (Badyaranke); Pajade; Pajadinca; Pajadinka
Bafia	<http://vocab.getty.edu/ulan/500202922>	<http://vocab.getty.edu/aat/300016157>	Bapea; Begbak; Bekpa; Bekpak; Bekpek; Fia; Kpa; Lefa; Rikpa; Ripey
Bafo	<http://vocab.getty.edu/ulan/500202923>	<http://vocab.getty.edu/aat/300100363>	Fo (Cameroon style)
Bagirmi	<http://vocab.getty.edu/ulan/500202924>	<http://vocab.getty.edu/aat/300015902>	Baghirmi; Baguirmi
Bahamian	<http://vocab.getty.edu/ulan/500202925>	<http://vocab.getty.edu/aat/300385966>	
Bahraini	<http://vocab.getty.edu/ulan/500202926>	<http://vocab.getty.edu/aat/300385967>	
Bailundu	<http://vocab.getty.edu/ulan/500202927>	<http://vocab.getty.edu/aat/300263499>	Bailoundou; Bailundo; Bailundos; Ba-Lundo; Balundo; Mbailundu; Mbalundo; Mbalundu; Vambalundu
Baining	<http://vocab.getty.edu/ulan/500202928>	<http://vocab.getty.edu/aat/300021874>	
Balalyk-Tepe	<http://vocab.getty.edu/ulan/500202930>	<http://vocab.getty.edu/aat/300112971>	Balalik Tepe; Balalyk Tepe
Balinese	<http://vocab.getty.edu/ulan/500202932>	<http://vocab.getty.edu/aat/300018711>	Bali (Indonesian style)
Balkan	<http://vocab.getty.edu/ulan/500355563>	<http://vocab.getty.edu/aat/300386535>	
Bamana	<http://vocab.getty.edu/ulan/500202933>	<http://vocab.getty.edu/aat/300015848>	Bambara (culture or style); Banmana
Bamileke	<http://vocab.getty.edu/ulan/500202934>	<http://vocab.getty.edu/aat/300016142>	Mileke
Bangi	<http://vocab.getty.edu/ulan/500202937>	<http://vocab.getty.edu/aat/300016373>	
Bangladeshi	<http://vocab.getty.edu/ulan/500202938>	<http://vocab.getty.edu/aat/300385968>	
