<http://vocab.getty.edu/ulan/500202969>	Belorussian
<http://vocab.getty.edu/ulan/500202970>	Bemba (Southern African)
<http://vocab.getty.edu/ulan/500202971>	Bembe (Kongo)
<http://vocab.getty.edu/ulan/500202972>	Bembe (Maniema)
<http://vocab.getty.edu/ulan/500355082>	Benedictine
<http://vocab.getty.edu/ulan/500202973>	Benga
<http://vocab.getty.edu/ulan/500355199>	Benin (ancient Nigerian)
<http://vocab.getty.edu/ulan/500202974>	Beninese
<http://vocab.getty.edu/ulan/500202975>	Benue-Congo
<http://vocab.getty.edu/ulan/500202976>	Beothuk
<http://vocab.getty.edu/ulan/500202977>	Berber
<http://vocab.getty.edu/ulan/500202978>	Bermudian
<http://vocab.getty.edu/ulan/500202979>	Beti
<http://vocab.getty.edu/ulan/500202980>	Betsileo
<http://vocab.getty.edu/ulan/500202981>	Bhatgaon
<http://vocab.getty.edu/ulan/500355229>	Bhil
<http://vocab.getty.edu/ulan/500202982>	Bhutanese
<http://vocab.getty.edu/ulan/500202983>	Bijogo
<http://vocab.getty.edu/ulan/500202984>	Bini
<http://vocab.getty.edu/ulan/500202985>	Binji
<http://vocab.getty.edu/ulan/500202986>	Biombo
<http://vocab.getty.edu/ulan/500202987>	Birifor
<http://vocab.getty.edu/ulan/500202988>	Birnick
<http://vocab.getty.edu/ulan/500202989>	Birom
<http://vocab.getty.edu/ulan/500202990>	Bisa
<http://vocab.getty.edu/ulan/500202991>	Blackfeet
<http://vocab.getty.edu/ulan/500202992>	Blackfoot
<http://vocab.getty.edu/ulan/500202993>	Blood (Native American)
<http://vocab.getty.edu/ulan/500202994>	Bobo
<http://vocab.getty.edu/ulan/500202995>	Boeotian
<http://vocab.getty.edu/ulan/500355083>	Bogomil
<http://vocab.getty.edu/ulan/500125219>	Bohemian
<http://vocab.getty.edu/ulan/500202996>	Boki
<http://vocab.getty.edu/ulan/500202997>	Bol'shaia Rechka
<http://vocab.getty.edu/ulan/500202998>	Bolewa
<http://vocab.getty.edu/ulan/500125257>	Bolivian
<http://vocab.getty.edu/ulan/500202999>	Bolognese
<http://vocab.getty.edu/ulan/500203000>	Boma
<http://vocab.getty.edu/ulan/500203001>	Bomitaba
<http://vocab.getty.edu/ulan/500355084>	Bon
<http://vocab.getty.edu/ulan/500203002>	Bondjo
<http://vocab.getty.edu/ulan/500355200>	Bongo (Eastern Sudanese)
<http://vocab.getty.edu/ulan/500203003>	Bongo (Pygmy)
<http://vocab.getty.edu/ulan/500203004>	Bornean
<http://vocab.getty.edu/ulan/500204557>	Bororo
<http://vocab.getty.edu/ulan/500203005>	Bororo (African)
<http://vocab.getty.edu/ulan/500294440>	Bororo (South American)
<http://vocab.getty.edu/ulan/500203006>	Bosnian
<http://vocab.getty.edu/ulan/500203007>	Bosnian Herzegovinian
<http://vocab.getty.edu/ulan/500294441>	Botocudo
<http://vocab.getty.edu/ulan/500203008>	Bougainville
<http://vocab.getty.edu/ulan/500203009>	Boyo
<http://vocab.getty.edu/ulan/500355085>	Brahma Kumari
<http://vocab.getty.edu/ulan/500355059>	Brahmanical
<http://vocab.getty.edu/ulan/500355086>	Brahmo Samaj
<http://vocab.getty.edu/ulan/500203010>	Brazilian
<http://vocab.getty.edu/ulan/500203011>	Breton
<http://vocab.getty.edu/ulan/500355087>	Brigittine
<http://vocab.getty.edu/ulan/500125220>	British (modern)
<http://vocab.getty.edu/ulan/500203012>	British Columbian
<http://vocab.getty.edu/ulan/500203013>	Brong
<http://vocab.getty.edu/ulan/500203014>	Brulé
<http://vocab.getty.edu/ulan/500203015>	Bruneian
<http://vocab.getty.edu/ulan/500203016>	Bubi
<http://vocab.getty.edu/ulan/500355113>	Buddhist
<http://vocab.getty.edu/ulan/500203017>	Budja
<http://vocab.getty.edu/ulan/500203018>	Budu
<http://vocab.getty.edu/ulan/500203019>	Builsa
<http://vocab.getty.edu/ulan/500203020>	Buji
<http://vocab.getty.edu/ulan/500203021>	Buka
<http://vocab.getty.edu/ulan/500203022>	Bulahay
<http://vocab.getty.edu/ulan/500355202>	Bulgarian (modern)
<http://vocab.getty.edu/ulan/500203023>	Bumali
<http://vocab.getty.edu/ulan/500203024>	Bunu
<http://vocab.getty.edu/ulan/500203025>	Bura (Chad)
<http://vocab.getty.edu/ulan/500203026>	Burgundian (Migration period)
