y	c
http://dbpedia.org/resource/Public_art	4
http://dbpedia.org/resource/Socialism	4
http://dbpedia.org/resource/Poetry_slam	4
http://dbpedia.org/resource/Romantic_nationalism	4
http://dbpedia.org/resource/Abstract_Illusionism	4
http://dbpedia.org/resource/Vancouver_School	4
http://dbpedia.org/resource/Painting	4
http://dbpedia.org/resource/Urban_fantasy	4
http://dbpedia.org/resource/Montreal_Group	4
http://dbpedia.org/resource/Culture_jamming	3
http://dbpedia.org/resource/Positivism	3
http://dbpedia.org/resource/Coast_Salish_art	3
http://dbpedia.org/resource/Mail_art	3
http://dbpedia.org/resource/Deep_image	3
http://dbpedia.org/resource/Cretan_School	3
http://dbpedia.org/resource/Ruthenian_Triad	3
http://dbpedia.org/resource/The_Eight_(painters)	3
http://dbpedia.org/resource/Gothic_Revival_architecture	3
http://dbpedia.org/resource/Visual_poetry	3
http://dbpedia.org/resource/Historical_revisionism	3
http://dbpedia.org/resource/English_Renaissance_theatre	3
http://dbpedia.org/resource/Mural	3
http://dbpedia.org/resource/Photography	3
http://dbpedia.org/resource/Sufism	3
http://dbpedia.org/resource/Contemporary_fantasy	3
http://dbpedia.org/resource/Latin_American_literature	3
http://dbpedia.org/resource/Conceptualism	3
http://dbpedia.org/resource/New_media_art	3
http://dbpedia.org/resource/Funk_art	3
http://dbpedia.org/resource/United_States	3
http://dbpedia.org/resource/Metaphysical_poets	3
http://dbpedia.org/resource/Suprematism	3
http://dbpedia.org/resource/Expressionism_(theatre)	3
http://dbpedia.org/resource/The_Song_Fishermen	3
http://dbpedia.org/resource/Eclecticism	3
http://dbpedia.org/resource/Kuchipudi	3
http://dbpedia.org/resource/List_of_feminist_literature	3
http://dbpedia.org/resource/Byzantine_Revival_architecture	3
http://dbpedia.org/resource/Cubo-Futurism	3
http://dbpedia.org/resource/Culture_of_Cuba	3
http://dbpedia.org/resource/Criterion_(literary_society)	3
http://dbpedia.org/resource/Pattern_and_Decoration	3
http://dbpedia.org/resource/Literary_criticism	3
http://dbpedia.org/resource/Indian_literature	3
http://dbpedia.org/resource/Gay_literature	3
http://dbpedia.org/resource/Biedermeier	3
http://dbpedia.org/resource/Plateresque	3
http://dbpedia.org/resource/Kunstakademie_Düsseldorf	3
http://dbpedia.org/resource/Mission_School	3
http://dbpedia.org/resource/East_Coast_of_the_United_States	3
http://dbpedia.org/resource/Interactive_art	3
http://dbpedia.org/resource/Performance_poetry	3
http://dbpedia.org/resource/Chicano	3
http://dbpedia.org/resource/Nepal_Bhasa_renaissance	3
http://dbpedia.org/resource/Fin_de_siècle	3
http://dbpedia.org/resource/Generación_decapitada	3
http://dbpedia.org/resource/Mixed_media	3
http://dbpedia.org/resource/Bizarro_fiction	3
http://dbpedia.org/resource/Minimalism_(visual_arts)	3
http://dbpedia.org/resource/Kiowa_Five	3
http://dbpedia.org/resource/Age_of_Enlightenment	3
http://dbpedia.org/resource/Performing_arts	3
http://dbpedia.org/resource/Angry_young_men	3
http://dbpedia.org/resource/New_Gothic	3
http://dbpedia.org/resource/Shaped_canvas	3
http://dbpedia.org/resource/American_Barbizon_school	3
http://dbpedia.org/resource/Picturesque	3
http://dbpedia.org/resource/Cosmicism	3
http://dbpedia.org/resource/Golden_Age_of_Science_Fiction	3
http://dbpedia.org/resource/Indian_independence_movement	3
http://dbpedia.org/resource/Spoken_word	3
http://dbpedia.org/resource/Cyberpunk_derivatives	3
http://dbpedia.org/resource/Ledger_art	3
http://dbpedia.org/resource/Neoclassical_architecture	3
http://dbpedia.org/resource/Secession_(art)	3
http://dbpedia.org/resource/Visionary	3
http://dbpedia.org/resource/Fantasy_of_manners	3
http://dbpedia.org/resource/Sentimentalism_(literature)	3
http://dbpedia.org/resource/Social_Practice	3
http://dbpedia.org/resource/Northwest_School_(art)	3
http://dbpedia.org/resource/VAPLITE	3
http://dbpedia.org/resource/Trăirism	3
http://dbpedia.org/resource/Social_practice	3
http://dbpedia.org/resource/Les_Automatistes	3
http://dbpedia.org/resource/Theatre_of_the_Absurd	3
http://dbpedia.org/resource/Bengal_School_of_Art	3
http://dbpedia.org/resource/Informalism	3
http://dbpedia.org/resource/Hard_science_fiction	3
http://dbpedia.org/resource/Pennsylvania_Impressionism	3
http://dbpedia.org/resource/Aragonese-language_literature	3
http://dbpedia.org/resource/Steampunk	3
http://dbpedia.org/resource/LGBT_rights_by_country_or_territory	3
http://dbpedia.org/resource/Sturm_und_Drang	3
http://dbpedia.org/resource/Formalism_(art)	3
http://dbpedia.org/resource/Philosophy	3
http://dbpedia.org/resource/Independence_movement_in_Puerto_Rico	3
http://dbpedia.org/resource/Hardboiled	3
http://dbpedia.org/resource/English_literature	3
http://dbpedia.org/resource/Mono-ha	3
http://dbpedia.org/resource/Antipodeans	3
http://dbpedia.org/resource/Peredvizhniki	3
http://dbpedia.org/resource/Maximalism	2
http://dbpedia.org/resource/Feminist_movement	2
http://dbpedia.org/resource/Iconography	2
http://dbpedia.org/resource/Commercial_art	2
http://dbpedia.org/resource/Northern_Mannerism	2
http://dbpedia.org/resource/Sienese_School	2
http://dbpedia.org/resource/Southern_Tang	2
http://dbpedia.org/resource/Philadelphia_Sketch_Club	2
http://dbpedia.org/resource/Visual_arts_by_indigenous_peoples_of_the_Americas	2
http://dbpedia.org/resource/Net.art	2
http://dbpedia.org/resource/Roman_School	2
http://dbpedia.org/resource/Euston_Road_School	2
http://dbpedia.org/resource/Chamber_of_rhetoric	2
http://dbpedia.org/resource/Skagen_Painters	2
http://dbpedia.org/resource/Romantic_realism	2
http://dbpedia.org/resource/Avraham_Shlonsky	2
http://dbpedia.org/resource/Hussards_(literary_movement)	2
http://dbpedia.org/resource/Indian_Group_of_Seven	2
http://dbpedia.org/resource/Aztlán	2
http://dbpedia.org/resource/Post-YBAs	2
http://dbpedia.org/resource/Hart_(literary_organization)	2
http://dbpedia.org/resource/Tinerimea_Artistică	2
http://dbpedia.org/resource/San_Ildefonso_Self-Taught_Group	2
http://dbpedia.org/resource/Underground_comix	2
http://dbpedia.org/resource/Children's_literature	2
http://dbpedia.org/resource/Noise_music	2
http://dbpedia.org/resource/Nonconformist	2
http://dbpedia.org/resource/Welsh_literature_in_English	2
http://dbpedia.org/resource/Wildlife	2
http://dbpedia.org/resource/Chinese_painting	2
http://dbpedia.org/resource/Gothic_fiction	2
http://dbpedia.org/resource/Politics	2
http://dbpedia.org/resource/Garip	2
http://dbpedia.org/resource/Crepuscolari	2
http://dbpedia.org/resource/Lost_Generation	2
http://dbpedia.org/resource/Poetry	2
http://dbpedia.org/resource/Shanghai_School	2
http://dbpedia.org/resource/Venetian_school_(art)	2
http://dbpedia.org/resource/Tzantzismo	2
http://dbpedia.org/resource/Rouen_School	2
http://dbpedia.org/resource/Ink_wash_painting	2
http://dbpedia.org/resource/Emerging_church	2
http://dbpedia.org/resource/Second-wave_feminism	2
http://dbpedia.org/resource/Splatterpunk	2
http://dbpedia.org/resource/Italian_Renaissance_painting	2
http://dbpedia.org/resource/Monochrome_painting	2
http://dbpedia.org/resource/Abstractionism	2
http://dbpedia.org/resource/Onirism	2
http://dbpedia.org/resource/Noucentisme	2
http://dbpedia.org/resource/London_Regionalism	2
http://dbpedia.org/resource/Progressivism	2
http://dbpedia.org/resource/Norwegian_romantic_nationalism	2
http://dbpedia.org/resource/Pakistan_Movement	2
http://dbpedia.org/resource/Anti-war_movement	2
http://dbpedia.org/resource/Counterculture	2
http://dbpedia.org/resource/Political_satire	2
http://dbpedia.org/resource/Southern_Gothic	2
http://dbpedia.org/resource/Dutch_and_Flemish_Renaissance_painting	2
http://dbpedia.org/resource/Quito_School	2
http://dbpedia.org/resource/Chicano_Movement	2
http://dbpedia.org/resource/Poster	2
http://dbpedia.org/resource/Chicago_Imagists	2
http://dbpedia.org/resource/Stridentism	2
http://dbpedia.org/resource/History	2
http://dbpedia.org/resource/Eclecticism_in_art	2
http://dbpedia.org/resource/Silhouette	2
http://dbpedia.org/resource/Orphism_(art)	2
http://dbpedia.org/resource/Synthetism	2
http://dbpedia.org/resource/New_Weird	2
http://dbpedia.org/resource/Indie_rock	2
http://dbpedia.org/resource/Landscape	2
http://dbpedia.org/resource/New_media	2
http://dbpedia.org/resource/Open_source	2
http://dbpedia.org/resource/Young-adult_fiction	2
http://dbpedia.org/resource/Popular_culture	2
http://dbpedia.org/resource/Vienna_Secession	2
http://dbpedia.org/resource/American_craft	2
http://dbpedia.org/resource/Weimar_Classicism	2
http://dbpedia.org/resource/Six_Masters_of_the_early_Qing_period	2
http://dbpedia.org/resource/New_Age	2
http://dbpedia.org/resource/Rastafari_movement	2
http://dbpedia.org/resource/Southern_Agrarians	2
http://dbpedia.org/resource/Serb-Catholic_movement_in_Dubrovnik	2
http://dbpedia.org/resource/Vienna_School_of_Fantastic_Realism	2
http://dbpedia.org/resource/Camden_Town_Group	2
http://dbpedia.org/resource/Caricature	2
http://dbpedia.org/resource/Abstraction-Création	2
http://dbpedia.org/resource/Metaphysical_art	2
http://dbpedia.org/resource/Siuru	2
